title,phrase
US - Osimertinib - EF2_ClinicalTrials,tagrisso efficiency
US - Osimertinib - EF2_ClinicalTrials,tagrisso efficacy results
US - Olaparib - EF4_ClinicalTrials_Reproduction_Prostate_BRCA,What is the data for patients with prostate cancer with a BRCA gene mutation? Lynparza
US - Olaparib - EF4_ClinicalTrials_Reproduction_Prostate_BRCA,Prostate BRCA lynparza
US - Olaparib - EF4_ClinicalTrials_Reproduction_Prostate_BRCA,PROfound BRCA lynparza
US - Olaparib - EF4_ClinicalTrials_Reproduction_Prostate_BRCA,BRCA data in prostate lynparza
US - Olaparib - EF4_ClinicalTrials_Reproduction_Prostate_BRCA,Prostate trials with BRCA mutation
US - Dato-dxd - RE4_PublishedData_PanTumor01_Lung,What are the preliminary results in advanced/metastatic NSCLC cohort in the TROPION - PanTumor01 study?
US - Tremelimumab - AD3_Instructions_Reconstitution,Types of infusion bags used in Treme
US - Tremelimumab - AD3_Instructions_Reconstitution,In-line filter in Treme
US - Tremelimumab - AD3_Instructions_Reconstitution,Storage of reconstituted product for Treme
US - Tremelimumab - AD3_Instructions_Reconstitution,Temp excursion of reconstituted product in Treme
US - Tremelimumab - AD3_Instructions_Reconstitution,Preparation of Trem
US - Tremelimumab - AD3_Instructions_Reconstitution,Administration of treme
US - Tremelimumab - AD3_Instructions_Reconstitution,treme recon
US - Tremelimumab - AD3_Instructions_Reconstitution,treme reconstitution 
US - Osimertinib - RE3_OngoingStudies_AURA3,AURA3
US - Osimertinib - RE3_OngoingStudies_AURA3,AURA3 Study
US - Osimertinib - RE3_OngoingStudies_AURA3,AURA3 Trial
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,ASCO 2023 Lynparza
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,ASCO23 Lynparza
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,Information on ASCO 2023 Lynparza
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,ASCO Breast 2023 Lynparza
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,ASCO BC 23 Lynparza
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,ASCO23 Poster Lynparza
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,Poster from ASCO 23 Lynparza
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,2023 ASCO Lynparza
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,23 ASCO BC Lynparza
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,VIOLETTE ASCO 23 Lynparza
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,ASCO 2023 Olaparib
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,ASCO23 Olaparib
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,Information on ASCO 2023 Olaparib
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,ASCO Breast 2023 Olaparib
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,ASCO BC 23 Olaparib
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,ASCO23 Poster Olaparib
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,Poster from ASCO 23 Olaparib
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,2023 ASCO Olaparib
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,23 ASCO BC Olaparib
US - Olaparib - SS4_CONTACTPHARMAGROUP_ASCOCONGRESS_ASCO2023,VIOLETTE ASCO 23 Olaparib
US - Durvalumab - EF3_ClinicalTrials_PDL1,Does PD-L1 level affect the efficacy of Imfinzi® (durvalumab) in the unresectable stage III setting?
US - Durvalumab - EF3_ClinicalTrials_PDL1,imfinzi stage iii pdl1
US - T-DXd - DO4_Variations_Resp_ILD,Dose modifications for ILD/pneumonitis
US - T-DXd - DO4_Variations_Resp_ILD,Enhertu ILD/pneumonitis management
US - Durvalumab - AD1_Administration,How do you administer Imfinzi® (durvalumab)?
US - Durvalumab - AD1_Administration,what is administration of imfinzi
US - Durvalumab - AD1_Administration,imfinzi administration
US - Durvalumab - AD1_Administration,imfinzi admin
US - Olaparib - RE4_PublishedData_PROpel_MOA,Mechanism of action (MoA) for olaparib and abiraterone combination therapy in PROpel study?
US - Olaparib - RE4_PublishedData_PROpel_MOA,olaparib and abiraterone MoA
US - Olaparib - RE4_PublishedData_PROpel_MOA,olaparib and abiraterone combination action
US - Olaparib - RE4_PublishedData_PROpel_MOA,olaparib+abiraterone MoA
US - Olaparib - RE4_PublishedData_PROpel_MOA,olaparib+abiraterone combination action
US - Olaparib - RE4_PublishedData_PROpel_MOA,PROpel MoA
US - Olaparib - RE4_PublishedData_PROpel_MOA,PROpel mechanism of action
US - Olaparib - RE4_PublishedData_PROpel_MOA,Study 8 MoA
US - Olaparib - RE4_PublishedData_PROpel_MOA,study 8 mechanism of action
US - Olaparib - RE4_PublishedData_PROpel_MOA,PROpel MoA video
US - Durvalumab - RE3_PublishedData_HIMALAYA,What are the results of the HIMALAYA trial?
US - Durvalumab - RE3_PublishedData_HIMALAYA,Data from Himalaya
US - Durvalumab - RE3_PublishedData_HIMALAYA,Himalaya trial information
US - Durvalumab - RE3_PublishedData_HIMALAYA,Updated OS for the HIMALAYA trial
US - Durvalumab - RE3_PublishedData_HIMALAYA,Overall survival for the HIMALAYA trial
US - Durvalumab - RE3_PublishedData_HIMALAYA,Overall efficacy data for the HIMALAYA trial
US - Durvalumab - RE3_PublishedData_HIMALAYA,Exploratory data from the HIMALAYA trialconversation 
US - Durvalumab - RE3_PublishedData_HIMALAYA,Updated results from the HIMALAYA trial
US - T-DXd - EF1_Efficacy,What is the efficacy of Enhertu?
US - T-DXd - EF1_Efficacy,Efficacy results of enhertu
US - T-DXd - EF1_Efficacy,Efficacy data for enhertu
US - T-DXd - EF1_Efficacy,Efficacy data for enhertu low
US - T-DXd - EF1_Efficacy,Efficacy data enhertu her 2 low
US - T-DXd SS3_ContactPharmaGroup_Congress,Congress materials Enhertu
US - Osimertinib - AD3_Instructions_Split,Can I split the tablet?
US - Osimertinib - AD3_Instructions_Split,Can I cut the tablet?
US - Osimertinib - AD3_Instructions_Split,Can I crush the tablet?
US - Osimertinib - AD3_Instructions_Split,half; halve
US - Osimertinib - AD3_Instructions_Split,crush; crushed
US - Osimertinib - AD3_Instructions_Split,Can tagrisso be a liquid?
US - Osimertinib - AD3_Instructions_Split,tagrisso liquid
US - Osimertinib - AD3_Instructions_Split,Rectal administration tagrisso
US - Osimertinib - AD3_Instructions_Split,Has osimertinib been studied as rectal administration
US - Durvalumab - RE2_OngoingStudies,General response about ongoing trials Imfinzi
US - Durvalumab - RE2_OngoingStudies,Ongoing clinical trials
US - Osimertinib - SA3_AdverseEvents_Heme,Aplastic anemia with Tagrisso
US - Osimertinib - SA3_AdverseEvents_Heme,Anemia with Tagrisso
US - Osimertinib - SA3_AdverseEvents_Heme,Blood count decrease with Tagrisso
US - Osimertinib - SA3_AdverseEvents_Heme,Blood disorder with Tagrisso
US - T-DXd - SS4_HCPSupport_Resources_PrescribingInformation,Enhertu PI
US - Durvalumab - IN3_Procedures_Surgery,Can you use Imfinzi® (durvalumab) in patients undergoing surgery?
US - Durvalumab - IN3_Procedures_Surgery,imfinzi surgery
US - T-DXd - DO1_Dosing,What is the dose of Enhertu?
US - Durvalumab - DO3_LateDose_MissedDose,What happens if the patient misses an Imfinzi® (durvalumab) dose or there is a dosing delay?
US - Durvalumab - DO3_LateDose_MissedDose,imfinzi missed dose
US - Olaparib - RE4_PublishedData_MEDIOLA_Safety,Safety of MEDIOLA
US - Olaparib - RE4_PublishedData_MEDIOLA_Safety,Safety of Imfinzi and Lynparza in ovarian cancer
US - Olaparib - RE4_PublishedData_MEDIOLA_Safety,MEDIOLA Safety
US - Olaparib - RE4_PublishedData_MEDIOLA_Safety,Safety of durvalumab and olaparib in ovarian cancer
US - Olaparib - RE4_PublishedData_MEDIOLA_Safety,MEDIOLA safety results
US - Olaparib - RE4_PublishedData_MEDIOLA_Safety,Safety of Imfinzi and Lynparza
US - Olaparib - RE4_PublishedData_MEDIOLA_Safety,Safety of Lynparza and Imfinzi ovarian cancer
US - Osimertinib - AD3_Coadministration_CYP3AInducers,Administration with a CYP3A4 inducer
US - Osimertinib - AD3_Coadministration_CYP3AInducers,CYP3A
US - Osimertinib - AD3_Coadministration_CYP3AInducers,CYP inducer
US - Osimertinib - AD3_Coadministration_CYP3AInducers,tagrisso and CYP inducer
US - Osimertinib - AD3_Coadministration_CYP3AInducers,Osimertinib and CYP inducer
US - Osimertinib - AD3_Coadministration_CYP3AInducers,Osi and CYP inducer
US - Osimertinib - CO1_Cost,What's the cost of Tagrisso® (osimertinib)?
US - Osimertinib - CO1_Cost,cost
US - Osimertinib - CO1_Cost,price
US - Durvalumab - EF2_ClinicalTrials,Trial data Imfinzi
US - Durvalumab - EF2_ClinicalTrials,clinical data Imfinzi
US - Durvalumab - EF2_ClinicalTrials,product efficacy Imfinzi
US - Osimertinib - EF3_ClinicalTrials_Chemotherapy,Did chemotherapy affect ADAURA outcomes?
US - Osimertinib - EF3_ClinicalTrials_Chemotherapy,chemotherapy regimens in ADAURA/adjuvant setting
US - Osimertinib - EF3_ClinicalTrials_Chemotherapy,chemotherapy in early stage
US - Osimertinib -RE3_OngoingStudies_ORCHARD,ORCHARD trial
US - Osimertinib -RE3_OngoingStudies_ORCHARD,ORCHARD study
US - Osimertinib -RE3_OngoingStudies_ORCHARD,ORCHARD
US - Osimertinib - CO3_Support_Program,Is there a patient support program for Tagrisso® (osimertinib)?
US - Olaparib - CO3_Support_FinancialAssistance,Is there financial assistance for Lynparza?
US - Olaparib - CO3_Support_FinancialAssistance,Is there financial assistance for olaparib?
US - Olaparib - CO3_Support_FinancialAssistance,Financial assistance for Lynparza/olaparib
US - Olaparib - SA4_AdverseEvents_Reproduction_Prostate,What are the adverse events in patients with metastatic castration-resistant prostate cancer (mCRPC) receiving Lynparza® (olaparib)?
US - Olaparib - SA4_AdverseEvents_Reproduction_Prostate, What is the median time to onset or median duration of first event of AEs for prostate cancer patients on olaparib treatment?.
US - Olaparib - SA4_AdverseEvents_Reproduction_Prostate,olaparib safety prostate
US - Olaparib - SA4_AdverseEvents_Reproduction_Prostate,olaparib safety mCRPC
US - Olaparib - SA4_AdverseEvents_Reproduction_Prostate,AE prostate lynparza
US - Olaparib - SA4_AdverseEvents_Reproduction_Prostate,Prostate AE lynparza
US - Osimertinib - IN2_Renal,Can I use Tagrisso in patients with renal impairment?
US - Osimertinib - IN2_Renal,Kidney impairment
US - Osimertinib - IN2_Renal,Renal disease tagrisso
US - Osimertinib - IN2_Renal,renal impairment tagrisso
US - Osimertinib - IN2_Renal,kidney disease
US - Durvalumab - RE4_PublishedData_PACIFICR_ESMO,PACIFIC-R ESMO presentation
US - Durvalumab - IN3_Reproduction_Pregnancy,Can Imfinzi be used in pregnant patients?
US - Durvalumab - IN3_Reproduction_Pregnancy,imfinzi pregnancy
US - Durvalumab - IN3_Reproduction_Pregnancy,imfinzi pregnant
US - Durvalumab - IN3_Reproduction_Pregnancy,IMFINZI effects in pregnant women
US - Durvalumab - IN3_Reproduction_Pregnancy,effects of durvalumab in pregnant women
US - Durvalumab - IN3_Reproduction_Pregnancy,can I use imfinzi if pregnant
US - Durvalumab - RE3_PublishedData_PACIFIC,Are there studies for unresectable Stage III NSCLC patients Imfinzi
US - Durvalumab - RE3_PublishedData_PACIFIC,imfinzi pacific
US - Durvalumab - RE3_PublishedData_PACIFIC,Pacific OS
US - Durvalumab - RE3_PublishedData_PACIFIC,What is the overall survival for Imfinzi® (durvalumab) in the PACIFIC trial?
US - Durvalumab - RE3_PublishedData_PACIFIC,imfinzi pacific os
US - Durvalumab - RE3_PublishedData_PACIFIC,What were the efficacy outcomes from PACIFIC?
US - Durvalumab - RE3_PublishedData_PACIFIC,imfinzi pacific efficacy
US - Durvalumab - RE3_PublishedData_PACIFIC,PACIFIC 5-year OS
US - Durvalumab - RE3_PublishedData_PACIFIC,imfinzi pacific 5 year
US - Acalabrutinib - IN3_Reproduction_Lactation,Is Calquence indicated in lactating patients?
US - Acalabrutinib - IN3_Reproduction_Lactation,Calquence in nursing patients
US - Acalabrutinib - IN3_Reproduction_Lactation,Calquence in breastfeeding patients
US - Acalabrutinib - IN3_Reproduction_Lactation,Calquence in lactating patients
US - Olaparib - SA4_AdverseEvents_Heme_PulmonaryEmbolism,What is the rate of incidence of pulmonary embolism events in treatment with Lynparza?
US - Olaparib - SA4_AdverseEvents_Heme_PulmonaryEmbolism,Lynparza pulmonary embolism
US - Olaparib - SA4_AdverseEvents_Heme_PulmonaryEmbolism,Pulmonary embolism with Lynparza
US - Olaparib - SA4_AdverseEvents_Heme_PulmonaryEmbolism,Lynparza PE
US - Olaparib - SA4_AdverseEvents_Heme_PulmonaryEmbolism,Lynparza venous thromboembolic events
US - Olaparib - SA4_AdverseEvents_Heme_PulmonaryEmbolism,Lynparza VTE
US - Olaparib - SA4_AdverseEvents_Heme_PulmonaryEmbolism,PROpel PE
US - Olaparib - SA4_AdverseEvents_Heme_PulmonaryEmbolism,PROpel VTE
US - Osimertinib - ST2_OutOfSafeTempRange,There was a temperature excursion- is the supply still ok?
US - Osimertinib - ST2_OutOfSafeTempRange,tagrisso and temperature
US - Durvalumab - RE4_OngoingStudies_TOPAZ1_Efficacy,What were the efficacy outcomes from TOPAZ
US - Durvalumab - RE4_OngoingStudies_TOPAZ1_Efficacy,Topaz-1 efficacy results
US - Durvalumab - RE4_OngoingStudies_TOPAZ1_Efficacy,Topaz-1 OS data
US - Durvalumab - RE4_OngoingStudies_TOPAZ1_Efficacy,What were the efficacy results for TOPAZ-1
US - Durvalumab - AD4_Route_IV_InLineFilter,What is the requirement for in-line filter during administration of Imfinzi® (durvalumab)?
US - Durvalumab - AD4_Route_IV_InLineFilter,imfinzi filter
US - Durvalumab - AD4_Route_IV_InLineFilter,imfinzi inline filter
US - Durvalumab - IN2_Hepatic,Can Imfinzi® (durvalumab) be used in patients with hepatic impairment?
US - Durvalumab - IN2_Hepatic,imfinzi hepatic impairment
US - Durvalumab - IN2_Hepatic,Imfinzi hepatic dysfunction
US - Durvalumab - IN2_Hepatic,hepatic impairment in imfinzi
US - Durvalumab - IN2_Hepatic,hepatic impairment patients and imfinzi
US - Durvalumab - IN2_Hepatic,Imfinzi use in pattients with hepatic impairment
US - T-DXd - SA1_Safety,Enhertu safety
US - T-DXd - SA1_Safety,safety results of T-DXd
US - T-DXd - SA1_Safety,safety profile of enhertu
US - Osimertinib - IN3_Reproduction_Pregnancy,Can Tagrisso be used in pregnant women?
US - Osimertinib - IN3_Reproduction_Pregnancy,pregnancy
US - Olaparib - EF4_ClinicalTrials_Reproduction_Breast,What is the efficacy of Lynparza in breast cancer?
US - Olaparib - EF4_ClinicalTrials_Reproduction_Breast,Lynparza breast cancer efficacy
US - Olaparib - EF4_ClinicalTrials_Reproduction_Breast,Lynparza efficacy in breast cancer
US - Tremelimumab - SS4_HCPSupport_Resources_PrescribingInformation,Treme PI
US - Tremelimumab - SS4_HCPSupport_Resources_PrescribingInformation,tremelimumab PI
US - Tremelimumab - SS4_HCPSupport_Resources_PrescribingInformation,Imjudo PI
US - Tremelimumab - SS4_HCPSupport_Resources_PrescribingInformation,Imjudo Prescribing information
US - Tremelimumab - SS4_HCPSupport_Resources_PrescribingInformation,Treme Prescribing information
US - Tremelimumab - SS4_HCPSupport_Resources_PrescribingInformation,Treme/IMJUDO Package Insert
US - Osimertinib - EF3_ClinicalTrials_ResistanceMechanisms,What are the main resistance mechanisms when Osimertinib is used in first-line metastatic NSCLC?
US - Osimertinib - EF3_ClinicalTrials_ResistanceMechanisms,mutations at progression
US - Osimertinib - EF3_ClinicalTrials_ResistanceMechanisms,acquired resistance with Tagrisso
US - Osimertinib - EF3_ClinicalTrials_ResistanceMechanisms,mechanisms of resistance
US - Osimertinib - EF3_ClinicalTrials_ResistanceMechanisms,Data of acquired resistance with Tagrisso from FLAURA and/or FLAURA2 trial
US - Osimertinib - USE IN PEDIATRICS,Tagrisso use in pediatrics
US - Osimertinib - USE IN PEDIATRICS,Tagrisso Pediatrics
US - Osimertinib - IN3_PlaceInTherapy_OtherTKI,Should one use other TKI in adjuvant setting and save osimertinib to use after progression?
US - Osimertinib - IN3_PlaceInTherapy_OtherTKI,Should one use other TKI in adjuvant setting and save osimertinib to use after metastases?
US - Osimertinib - IN3_PlaceInTherapy_OtherTKI,waiting to use osimertinib 
US - Olaparib - RE4_PublishedData_PROpel_Safety,What are the safety results of PROpel?
US - Olaparib - RE4_PublishedData_PROpel_Safety,PROpel safety
US - Olaparib - RE4_PublishedData_PROpel_Safety,PROpel safety results
US - Olaparib - RE4_PublishedData_PROpel_Safety,PROpel adverse events
US - Olaparib - RE4_PublishedData_PROpel_Safety,AE PROpel
US - Olaparib - RE4_PublishedData_PROpel_Safety,PROpel AE
US - Olaparib - SS3_ContactPharmaGroup_ESGOCongress, Lynparza ESGO 2022
US - Olaparib - SS3_ContactPharmaGroup_ESGOCongress,ESGO 2022 Lynparza
US - Durvalumab - RE4_PublishedData_CALLA_Safety,What are the safety results from CALLA?
US - Durvalumab - RE4_PublishedData_CALLA_Safety,CALLA safety
US - Durvalumab - RE4_PublishedData_CALLA_Safety,CALLA safety results
US - Durvalumab - RE4_PublishedData_CALLA_Safety,Safety in CALLA
US - Durvalumab - RE4_PublishedData_CALLA_Safety,Safety CALLA
US - Osimertinib - IN3_Reproduction_Lactation,Can Tagrisso be used in women who are breastfeeding?
US - Osimertinib - IN3_Reproduction_Lactation,lactating
US - Osimertinib - IN3_Reproduction_Lactation,lactation
US - Camizestrant - RE3_PublishedData_SERENA1,What is the trial design for SERENA-1
US - Camizestrant - RE3_PublishedData_SERENA1,What are the results for SERENA-1
US - Camizestrant - RE3_PublishedData_SERENA1,SERENA-1 SABCS 2023
US - Osimertinib - SA4_AdverseEvents_CVS_QTcProlongation,QT Prolongation with Tagrisso® (osimertinib)
US - Osimertinib - SA4_AdverseEvents_CVS_QTcProlongation,QTC prolongation
US - Osimertinib - SA4_AdverseEvents_CVS_QTcProlongation,QTC prolonging
US - Osimertinib - SA4_AdverseEvents_CVS_QTcProlongation,QT prolonging 
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,Enhertu in combination with anastrozole or fluvestrant SABCS 2023
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,T-DXd in HER2-low mBC SABCS 2023Enhertu SABCS 2023 in HER2-low breast cancer
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,Enhertu in HER2-low HR+ advanced/metastatic breast cancer
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,DESTINY-Breast08
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,Destiny breast 08
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,Destiny breast 8
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,DESTINY-Breast08 SABCS
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,Destiny breast 08 SABCS
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,Destiny breast 8 SABCS
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,Enhertu exposure efficacy and safety analysis in HER2 positive mBC
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,SABCS 2023 efficacy and safety analysis ENHERTU
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,SABCS 2023 analysis in breast cancer
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,Enhertu SABCS 2023 analysis in HER2 + mBCDB-02 and 03 SABCS 2023
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,HER2 positive mBC ENHERTU SABCS 2023
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,HER2 positive mBc Trastuzumab Deruxtecan SABCS 2023T-DXd HER2 positive mBC SABCS 2023
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,DESTINY-Breast 02 and 03
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,Destiny breast 2 and 3 SABCS
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,Destiny breast 2 and 3
US - T-DXd - SS4_CONTACTPHARMAGROUP_SABCSCONGRESS_SABCS2023,DESTINY-Breast 02 and 03 SABCS
US - T-DXd - DI1_DrugInteractions,Which drugs interact with Enhertu?
US - Olaparib - RE4_PublishedData_PROpel_Abiraterone,Why was abiraterone chosen as the NHA combination partner in the PROpel study?
US - Olaparib - RE4_PublishedData_PROpel_Abiraterone,Rationale for abiraterone in combination therapy lynparza
US - Olaparib - RE4_PublishedData_PROpel_Abiraterone,PROpel combination therapy partner
US - Olaparib - RE4_PublishedData_PROpel_Abiraterone,PROpel abiraterone
US - Olaparib - RE4_PublishedData_PROpel_Abiraterone,Choice of abiraterone chosen as NHA combination partner lynparza
US - Olaparib - RE4_PublishedData_PROpel_Abiraterone,NHA choice in PROpel
US - Olaparib - RE4_PublishedData_PROpel_Abiraterone,PROpel NHA combination partner
US - Durvalumab - RE3_PublishedData_CALLA,CALLA
US - Durvalumab - RE3_PublishedData_CALLA,CALLA results
US - Durvalumab - RE3_PublishedData_CALLA,CALLA study results
US - Durvalumab - RE3_PublishedData_CALLA,CALLA Efficacy results
US - Durvalumab - RE3_PublishedData_CALLA,CALLA Efficacy
US - Durvalumab - RE3_PublishedData_CALLA,Use of durvalamab in cervical cancer
US - Durvalumab - RE3_PublishedData_CALLA,Use of Imfinzi in cervical cancer
US - Acalabrutinib - IN3_CVS_AtrialFibrillation,acalabrutinib in patients with prior atrial fibrillation
US - Acalabrutinib - IN3_CVS_AtrialFibrillation,Calquence and Afib
US - Acalabrutinib - IN3_CVS_AtrialFibrillation,Acalabrutinib and Afib
US - Acalabrutinib - IN3_CVS_AtrialFibrillation,acalabrutinib and atrial fibrillation
US - Acalabrutinib - IN3_CVS_AtrialFibrillation,onset and duration of atrial fibrillation with acalabrutinib
US - Acalabrutinib - IN3_CVS_AtrialFibrillation,Do you have information on the use of acalabrutinib in patients with atrial fibrillation?
US - Olaparib - RE4_PublishedData_LUCY_Safety,Lucy safety
US - Olaparib - RE4_PublishedData_LUCY_Safety,LUCY safety results
US - Olaparib - RE4_PublishedData_LUCY_Safety,LUCY safety
US - Olaparib - RE4_PublishedData_LUCY_Safety,Safety in LUCY
US - Olaparib - RE4_PublishedData_LUCY_Safety,Safety of LUCY
US - Olaparib - RE4_PublishedData_OlympiA_Efficacy,What are the efficacy results from the Olympia trial?
US - Olaparib - RE4_PublishedData_OlympiA_Efficacy,OlympiA efficacy results
US - Olaparib - RE4_PublishedData_OlympiA_Efficacy,OlympiA efficacy
US - Olaparib - RE4_PublishedData_OlympiA_Efficacy,Efficacy in OlympiA
US - Olaparib - RE4_PublishedData_OlympiA_Efficacy,Efficacy of OlympiA
US - T-dxd - SA4_ClinicalTrials_Resp_ILD_Gastric,What is the incidence of ILD in gastric cancer with ENHERTU?
US - T-dxd - SA4_ClinicalTrials_Resp_ILD_Gastric,ILD Gastric cancer
US - Osimertinib - IN3_Condition_Recurrence,What can I use after my patient progresses on Tagrisso?
US - Osimertinib - IN3_Condition_Recurrence,What are the treatment options for when my patient progresses on first-line / second line osimertinib?
US - Osimertinib - IN3_Condition_Recurrence,subsequent therapy
US - Osimertinib - IN3_Condition_Recurrence,progression on tagrisso 
US - T-DXd - AD1_Administration,How is Enhertu administered?   
US - T-DXd - AD1_Administration,How do you dilute Enhertu?
US - T-DXd - AD1_Administration,How do you reconstitute Enhertu?
US - T-DXd - AD1_Administration,How do you prepare Enhertu?
US - Olaparib - EF4_ClinicalTrials_Reproduction_Prostate_Combination,Do you have data on combination therapy with Lynparza in patients with prostate cancer?
US - Olaparib - EF4_ClinicalTrials_Reproduction_Prostate_Combination,combination with olaparib prostate
US - Olaparib - EF4_ClinicalTrials_Reproduction_Prostate_Combination,combination with lynparza prostate
US - Olaparib - EF4_ClinicalTrials_Reproduction_Prostate_Combination,combination therapy with olaparib mCRPC
US - Olaparib - EF4_ClinicalTrials_Reproduction_Prostate_Combination,combination therapy mCRPC
US - Olaparib - SA4_WarningsPrecautions_CNS_BBB,Does Lynparza/olaparib cross the blood-brain barrier?
US - Olaparib - SA4_WarningsPrecautions_CNS_BBB,Use of Lynparza/olaparib in brain metastases
US - Olaparib - SA4_WarningsPrecautions_CNS_BBB,Lynparza/olaparib and brain mets
US - Olaparib - SA4_WarningsPrecautions_CNS_BBB,Lynparza/olaparib in brain disease
US - Olaparib - SA4_WarningsPrecautions_CNS_BBB,Lynparza/olaparib brain penetration
US - T-DXd - IN3_ID_COVID19,COVID 19 related/dose modification
US - Tremelimumab - DI4_Drugs_Oncology_Durvalumab_HCC,Safety of treme in combo with durvalumab in HCC
US - Tremelimumab - DI4_Drugs_Oncology_Durvalumab_HCC,AEs for treme/imjudo with durva/imfinzi in HCC
US - Tremelimumab - DI4_Drugs_Oncology_Durvalumab_HCC,durva treme combo HCC
US - Dato-dxd - RE3_PUBLISHEDDATA_TROPIONLUNG04,TROPION-Lung04
US - Dato-dxd - RE3_PUBLISHEDDATA_TROPIONLUNG04,Tropion lung 04
US - Dato-dxd - RE3_PUBLISHEDDATA_TROPIONLUNG04,Tropion lung 4
US - Camizestrant - CP2_MOA,What is the MOA of camizestrant?
US - Olaparib - EF4_ClinicalTrials_GIT_Pancreatic,What is the efficacy of Lynparza in pancreatic cancer?
US - Olaparib - EF4_ClinicalTrials_GIT_Pancreatic,olaparib efficacy in pancreatic
US - Acalabrutinib - SA4_AdverseEvents_CNS_Headache,headache with acalabrutinib
US - Acalabrutinib - SA4_AdverseEvents_CNS_Headache,management of headache and acalabrutinib
US - Acalabrutinib - SA4_AdverseEvents_CNS_Headache,calquence and headache mangagement with caffeine
US - Acalabrutinib - SA4_AdverseEvents_CNS_Headache,headache and calquence
US - Acalabrutinib - SA4_AdverseEvents_CNS_Headache,Do you have information on the incidence and management of headache with acalabrutinib?
US - T-dxd - RE4_OngoingStudies_DESTINYGastric02_ESMO,What is the trial design of DESTINY-Gastric02?
US - T-dxd - RE4_OngoingStudies_DESTINYGastric02_ESMO,What are the results of DESTINY-Gastric02
US - T-dxd - RE4_OngoingStudies_DESTINYGastric02_ESMO,What are the efficacy/safety results of DESTINY-Gastric02
US - T-dxd - RE4_OngoingStudies_DESTINYGastric02_ESMO,ENHERTU DG02
US - T-dxd - RE4_OngoingStudies_DESTINYGastric02_ESMO,DG02
US - T-dxd - RE4_OngoingStudies_DESTINYGastric02_ESMO,DESTINY-GASTRIC02
US - T-dxd - RE4_OngoingStudies_DESTINYGastric02_ESMO,DG-02
US - Durvalumab - RE3_OngoingStudies_TOPAZ1,What are the results of the TOPAZ-1 trial?
